region_code,region,city,lat,long,radius(km)
22,Алтайский край,Барнаул,53.354574,83.695520,50
22,Алтайский край,Бийск,52.543018,85.206790,50
22,Алтайский край,Змеиногорск,51.284481,82.011071,50
22,Алтайский край,Славгород,53.202490,79.268758,50
22,Алтайский край,Камень-на-Оби,53.785894,81.331660,50
22,Алтайский край,Завьялово,52.815705,80.990213,50
22,Алтайский край,Алейск,52.496699,82.780985,50
22,Алтайский край,Горно-Алтайск,51.736724,85.924633,50
28,Амурская область,Сковородино,54.296930,125.247570,100
28,Амурская область,Свободный,51.390043,128.109110,10
28,Амурская область,Белогорск,50.927177,128.455179,10
28,Амурская область,Благовещенск,50.276936,128.043192,50
28,Амурская область,Завитинск,50.111197,129.443949,50
28,Амурская область,Тында,55.164950,124.724399,50
29,Архангельская область,Архангельск,64.501706,40.351071,50
29,Архангельская область,Мезень,65.843286,44.241504,25
29,Архангельская область,Котлас,61.276402,46.637219,25
29,Архангельская область,Вельск,61.099183,42.132840,25
29,Архангельская область,Коноша,60.987307,40.267911,25
29,Архангельская область,Каргополь,61.515202,38.973217,10
29,Архангельская область,Няндома,61.680064,40.209179,10
29,Архангельская область,Онега,63.909638,38.113598,10
30,Астраханская область,Знаменск,46.851463,47.466189,5
30,Астраханская область,Вязовка,48.371271,45.452868,25
30,Астраханская область,Ахтубинск,48.287939,46.167666,20
30,Астраханская область,Баскунчак,48.221514,46.726333,10
30,Астраханская область,Черный Яр,48.055768,46.244074,25
30,Астраханская область,Харабли,47.411313,47.268617,25
30,Астраханская область,Вольное,47.148481,47.687213,50
30,Астраханская область,Астрахань,46.355597,48.038915,50
30,Астраханская область,Лиман,45.784379,47.221425,10
31,Белгородская область,Ракитное,50.797610,35.872265,20
31,Белгородская область,Борисовка,50.603119,35.793987,15
31,Белгородская область,Белгород,50.614479,36.580883,25
31,Белгородская область,Новый Оскол,50.844351,37.745640,50
31,Белгородская область,Валуйки,50.212344,38.102696,15
31,Белгородская область,Алексеевка,50.640450,38.591587,15
31,Белгородская область,Старый Оскол,51.247375,37.690459,15
31,Белгородская область,Прохоровка,51.040052,36.723662,5
31,Белгородская область,Грайворон,50.492980,35.678746,10
32,Брянская область,Клинцы,52.720574,32.411144,50
32,Брянская область,Почеп,52.924398,33.471324,5
32,Брянская область,Брянск,53.243125,34.362166,25
32,Брянская область,Дятьково,53.621924,34.030182,25
32,Брянская область,Севск,52.340759,34.413864,25
32,Брянская область,Трубчевск,52.620204,33.598491,25
32,Брянская область,Навля,52.835871,34.511147,10
33,Владимирская область,Кольчугино,56.326567,39.009914,25
33,Владимирская область,Владимир,56.083154,40.336513,25
33,Владимирская область,Суздаль,56.453016,40.495815,10
33,Владимирская область,Ковров,56.364698,41.322536,15
33,Владимирская область,Гороховец,56.222656,42.506313,15
33,Владимирская область,Муром,55.588550,41.907558,10
33,Владимирская область,Гусь-Хрустальный,55.627419,40.646877,15
33,Владимирская область,Меленки,55.352959,41.624660,15
34,Волгоградская область,Волгоград,48.802523,43.988277,50
34,Волгоградская область,Михайловка,49.889940,43.391777,50
34,Волгоградская область,Камышин,50.113001,45.435234,50
34,Волгоградская область,Новоаннинский,50.709727,42.381035,50
35,Вологодская область,Вологда,59.238857,40.107432,50
35,Вологодская область,Череповец,59.169373,37.846897,50
35,Вологодская область,Устюжна,58.883336,36.303318,10
35,Вологодская область,Белозерск,60.039596,37.793034,50
35,Вологодская область,Вытегра,61.003653,36.461318,25
35,Вологодская область,Великий Устюг,60.759649,46.315788,15
35,Вологодская область,Тотьма,59.978956,42.756218,50
36,Воронежская область,Воронеж,51.616750,39.293331,50
36,Воронежская область,Лиски,50.986605,39.513058,25
36,Воронежская область,Борисоглебск,51.383613,42.028927,25
36,Воронежская область,Россошь,50.199883,39.683346,25
36,Воронежская область,Павловск,50.648444,40.484297,50
36,Воронежская область,Богучар,49.841231,40.244582,25
79,Еврейская Автономный Округ,Ключевое,48.512633,134.650933,15
79,Еврейская Автономный Округ,Смидович,48.574640,133.698131,15
79,Еврейская Автономный Округ,Биробиджан,48.817393,132.899256,25
79,Еврейская Автономный Округ,Теплоозерск,49.008457,131.866748,50
79,Еврейская Автономный Округ,Облучье,49.022007,131.052386,5
79,Еврейская Автономный Округ,Ленинское,47.936416,132.583493,5
